question,entity,time,answer
"Which position did Sir Horace Rumbold, 8th Baronet hold right after January 1896?","Sir Horace Rumbold, 8th Baronet",1896-01,ambassador of the United Kingdom to Austria-Hungary
Which team did Warren Jabali play for right after January 1968?,Warren Jabali,1968-01,Virginia Squires
Which team did Warren Jabali play for right after January 1970?,Warren Jabali,1970-01,Indiana Pacers
Which team did Warren Jabali play for right after January 1971?,Warren Jabali,1971-01,Miami Floridians
Which team did Warren Jabali play for right after January 1972?,Warren Jabali,1972-01,Denver Nuggets
Which team did Warren Jabali play for right after January 1974?,Warren Jabali,1974-01,San Diego Sails
Who was the head coach of the team Panathinaikos F.C. right after February 2001?,Panathinaikos F.C.,2001-02,Fernando Santos
Who was the head coach of the team Panathinaikos F.C. right after October 2004?,Panathinaikos F.C.,2004-10,Zdeněk Ščasný
Who was the head coach of the team Panathinaikos F.C. right after February 2005?,Panathinaikos F.C.,2005-02,Alberto Malesani
Who was the head coach of the team Panathinaikos F.C. right after May 2006?,Panathinaikos F.C.,2006-05,Jasminko Velić
Who was the head coach of the team Panathinaikos F.C. right after October 2006?,Panathinaikos F.C.,2006-10,Víctor Muñoz
Who was the head coach of the team Panathinaikos F.C. right after December 2009?,Panathinaikos F.C.,2009-12,Nikos Nioplias
Who was the head coach of the team Panathinaikos F.C. right after November 2010?,Panathinaikos F.C.,2010-11,Jesualdo Ferreira
Who was the head coach of the team Panathinaikos F.C. right after November 2012?,Panathinaikos F.C.,2012-11,Juan Ramón Rocha
Who was the head coach of the team Panathinaikos F.C. right after May 2013?,Panathinaikos F.C.,2013-05,Yannis Anastasiou
Who was the head coach of the team Panathinaikos F.C. right after November 2015?,Panathinaikos F.C.,2015-11,Marinos Ouzounidis
Who was the head coach of the team Panathinaikos F.C. right after July 2020?,Panathinaikos F.C.,2020-07,Dani Poyatos
Who was the head coach of the team Panathinaikos F.C. right after October 2020?,Panathinaikos F.C.,2020-10,László Bölöni
Who was the owner of Primrose Hill Tunnel right after January 1846?,Primrose Hill Tunnel,1846-01,London and North Western Railway
Who was the owner of Primrose Hill Tunnel right after January 1923?,Primrose Hill Tunnel,1923-01,"London, Midland and Scottish Railway"
Who was the owner of Primrose Hill Tunnel right after January 1948?,Primrose Hill Tunnel,1948-01,British Rail
Who was the owner of Primrose Hill Tunnel right after January 1994?,Primrose Hill Tunnel,1994-01,Railtrack
"Which position did William Hayes Fisher, 1st Baron Downham hold right after June 1886?","William Hayes Fisher, 1st Baron Downham",1886-06,Member of the 24th Parliament of the United Kingdom
"Which position did William Hayes Fisher, 1st Baron Downham hold right after June 1892?","William Hayes Fisher, 1st Baron Downham",1892-06,Member of the 25th Parliament of the United Kingdom
"Which position did William Hayes Fisher, 1st Baron Downham hold right after July 1895?","William Hayes Fisher, 1st Baron Downham",1895-07,Member of the 26th Parliament of the United Kingdom
"Which position did William Hayes Fisher, 1st Baron Downham hold right after September 1900?","William Hayes Fisher, 1st Baron Downham",1900-09,Member of the 27th Parliament of the United Kingdom
Who was the head coach of the team Frosinone Calcio right after June 2019?,Frosinone Calcio,2019-06,Alessandro Nesta
Which political party did Jordi Xuclà belong to right after January 2016?,Jordi Xuclà,2016-01,Catalan European Democratic Party
Which political party did Jordi Xuclà belong to right after June 2020?,Jordi Xuclà,2020-06,Partit Nacionalista de Catalunya
Who was the head coach of the team PEC Zwolle right after January 2019?,PEC Zwolle,2019-01,John Stegeman
Who was the head coach of the team PEC Zwolle right after February 2021?,PEC Zwolle,2021-02,Dick Schreuder
Which position did David Mudd hold right after September 1974?,David Mudd,1974-09,Member of the 47th Parliament of the United Kingdom
Which position did David Mudd hold right after May 1983?,David Mudd,1983-05,Member of the 49th Parliament of the United Kingdom
Which position did David Mudd hold right after May 1987?,David Mudd,1987-05,Member of the 50th Parliament of the United Kingdom
Who was the chair of Allgemeiner Deutscher Fahrrad-Club right after January 1986?,Allgemeiner Deutscher Fahrrad-Club,1986-01,Karl-Ludwig Kelber
Who was the chair of Allgemeiner Deutscher Fahrrad-Club right after January 1998?,Allgemeiner Deutscher Fahrrad-Club,1998-01,Wolfgang Große
Who was the chair of Allgemeiner Deutscher Fahrrad-Club right after January 2002?,Allgemeiner Deutscher Fahrrad-Club,2002-01,Karsten Hübener
Who was the chair of Allgemeiner Deutscher Fahrrad-Club right after January 2010?,Allgemeiner Deutscher Fahrrad-Club,2010-01,Ulrich Syberg
Who was the head of Quezon City right after March 1976?,Quezon City,1976-03,Adelina Santos Rodriguez
Who was the head of Quezon City right after April 1986?,Quezon City,1986-04,"Brigido Simon, Jr."
Who was the head of Kleinmachnow right after January 1994?,Klaus Nitzsche,1994-01,Wolfgang Blasig
Who was the head of state of Republic of Artsakh right after March 1997?,Republic of Artsakh,1997-03,Leonard Petrosyan
Who was the head of state of Republic of Artsakh right after September 1997?,Republic of Artsakh,1997-09,Arkadi Ghukasyan
Who was the head of state of Republic of Artsakh right after September 2007?,Republic of Artsakh,2007-09,Bako Sahakyan
Who was the head of state of Republic of Artsakh right after May 2020?,Republic of Artsakh,2020-05,Arayik Harutyunyan
Which team did Luís Manuel Ferreira Delgado play for right after January 2006?,Luís Manuel Ferreira Delgado,2006-01,FC Metz
Which position did Iván Flores hold right after March 2018?,Iván Flores,2018-03,president of the Chamber of Deputies of Chile
Which employer did Phyllis Fox work for right after January 1946?,Phyllis Fox,1946-01,New York University
Which employer did Phyllis Fox work for right after January 1963?,Phyllis Fox,1963-01,Newark College of Engineering
Which team did Eric Potts play for right after January 1977?,Eric Potts,1977-01,Brighton & Hove Albion F.C.
Which team did Eric Potts play for right after January 1978?,Eric Potts,1978-01,Preston North End F.C.
Which team did Eric Potts play for right after January 1982?,Eric Potts,1982-01,Bury F.C.
Which position did Andrés Chadwick hold right after March 1998?,Andrés Chadwick,1998-03,senator of Chile
Who was the head of Bremerhaven right after January 1957?,Bremerhaven,1957-01,Bodo Selge
Who was the head of Bremerhaven right after January 1995?,Bremerhaven,1995-01,Manfred Richter
Who was the head of Bremerhaven right after January 2011?,Bremerhaven,2011-01,Melf Grantz
Who was the head coach of the team FK Kom right after February 2020?,FK Kom,2020-02,Radislav Dragićević
Which employer did Margaret Atwood work for right after January 1965?,Margaret Atwood,1965-01,Sir George Williams University
Which employer did Margaret Atwood work for right after January 1968?,Margaret Atwood,1968-01,University of Alberta
Which employer did Margaret Atwood work for right after January 1970?,Margaret Atwood,1970-01,York University
Who was the head of Germany right after October 1969?,Germany,1969-10,Willy Brandt
Who was the head of Germany right after May 1974?,Germany,1974-05,Walter Scheel
Who was the head of Germany right after October 1982?,Germany,1982-10,Helmut Kohl
Who was the head of Germany right after December 2021?,Germany,2021-12,Olaf Scholz
Which employer did Carlo Rovelli work for right after January 2000?,Carlo Rovelli,2000-01,University of the Mediterranean - Aix Marseille II
Which team did Davor Jozić play for right after January 1993?,Davor Jozić,1993-01,Club América
Which position did Austen Hudson hold right after October 1951?,Austen Hudson,1951-10,Member of the 40th Parliament of the United Kingdom
Which position did Austen Hudson hold right after May 1955?,Austen Hudson,1955-05,Member of the 41st Parliament of the United Kingdom
Which team did Riccardo Gagliolo play for right after January 2011?,Riccardo Gagliolo,2011-01,A.S.D. Imperia
Which employer did Fiona Meldrum work for right after January 2003?,Fiona Meldrum,2003-01,University of Bristol
Who was the head of state of Principality of Polotsk right after January 1001?,Principality of Polotsk,1001-01,Vseslav Izyaslavich
Who was the head of state of Principality of Polotsk right after January 1003?,Principality of Polotsk,1003-01,Bryachislav of Polotsk
Which position did John Bonfoy Rooper hold right after December 1832?,John Bonfoy Rooper,1832-12,Member of the 11th Parliament of the United Kingdom
Which position did John Bonfoy Rooper hold right after December 1834?,John Bonfoy Rooper,1834-12,Member of the 12th Parliament of the United Kingdom
Where was Fani Stipković educated right after January 2005?,Fani Stipković,2005-01,Universidad Europea de Madrid
"Which position did Sir Frederick Thomson, 1st Baronet hold right after October 1922?","Sir Frederick Thomson, 1st Baronet",1922-10,Member of the 32nd Parliament of the United Kingdom
"Which position did Sir Frederick Thomson, 1st Baronet hold right after November 1923?","Sir Frederick Thomson, 1st Baronet",1923-11,Member of the 33rd Parliament of the United Kingdom
"Which position did Sir Frederick Thomson, 1st Baronet hold right after October 1924?","Sir Frederick Thomson, 1st Baronet",1924-10,Member of the 34th Parliament of the United Kingdom
"Which position did Sir Frederick Thomson, 1st Baronet hold right after May 1929?","Sir Frederick Thomson, 1st Baronet",1929-05,Member of the 35th Parliament of the United Kingdom
"Which position did Sir Anthony Esmonde, 15th Baronet hold right after April 1954?","Sir Anthony Esmonde, 15th Baronet",1954-04,Representative of the Parliamentary Assembly of the Council of Europe
"Which position did Sir Anthony Esmonde, 15th Baronet hold right after May 1962?","Sir Anthony Esmonde, 15th Baronet",1962-05,Substitute member of the Parliamentary Assembly of the Council of Europe
Who was the head of Munich right after January 1810?,Munich,1810-01,Josef von Teng
Who was the head of Munich right after December 1837?,Munich,1837-12,Jacob Bauer
Who was the head of Munich right after December 1887?,Munich,1887-12,Johannes von Widenmayer
Who was the head of Munich right after April 1893?,Munich,1893-04,Wilhelm Ritter von Borscht
Who was the head of Munich right after April 1945?,Munich,1945-04,Thomas Wimmer
Who was the head of Munich right after May 1960?,Munich,1960-05,Hans-Jochen Vogel
Who was the head of Munich right after April 1984?,Munich,1984-04,Georg Kronawitter
Who was the head of Munich right after June 1993?,Munich,1993-06,Christian Ude
Who was the head of Munich right after April 2014?,Munich,2014-04,Dieter Reiter
Which position did Henri Longchambon hold right after September 1952?,Henri Longchambon,1952-09,Substitute member of the Parliamentary Assembly of the Council of Europe
Which employer did Felix Klein work for right after January 1875?,Felix Klein,1875-01,Technical University of Munich
Which employer did Felix Klein work for right after January 1880?,Felix Klein,1880-01,Leipzig University
Who was the head coach of the team Valenciennes F.C. right after November 2021?,Valenciennes F.C.,2021-11,Christophe Delmotte
Which political party did Enric Tarrado Vives belong to right after January 2000?,Enric Tarrado Vives,2000-01,Andorran Democratic Centre
Which political party did Enric Tarrado Vives belong to right after January 2005?,Enric Tarrado Vives,2005-01,Democrats for Andorra
Which position did Franklin Delano Roosevelt hold right after March 1913?,Franklin Delano Roosevelt,1913-03,Assistant Secretary of the Navy
Which position did Franklin Delano Roosevelt hold right after August 1920?,Franklin Delano Roosevelt,1920-08,Governor of New York
Which position did Franklin Delano Roosevelt hold right after March 1933?,Franklin Delano Roosevelt,1933-03,President of the United States
Which team did Willie Steel play for right after January 1931?,Willie Steel,1931-01,Liverpool F.C
"Which position did John Diamond, Baron Diamond hold right after October 1951?","John Diamond, Baron Diamond",1951-10,Member of the 41st Parliament of the United Kingdom
"Which position did John Diamond, Baron Diamond hold right after September 1959?","John Diamond, Baron Diamond",1959-09,Member of the 42nd Parliament of the United Kingdom
"Which position did John Diamond, Baron Diamond hold right after September 1964?","John Diamond, Baron Diamond",1964-09,Member of the 43rd Parliament of the United Kingdom
Which employer did Ghil'ad Zuckermann work for right after January 2011?,Ghil'ad Zuckermann,2011-01,University of Adelaide
Which team did Albert Brown play for right after January 1901?,Albert Brown,1901-01,Southampton F.C.
Which team did Albert Brown play for right after January 1904?,Albert Brown,1904-01,Preston North End F.C.
Which employer did Hayao Miyazaki work for right after January 1971?,Hayao Miyazaki,1971-01,Nippon Animation
Which employer did Hayao Miyazaki work for right after January 1978?,Hayao Miyazaki,1978-01,TMS Entertainment
Which team did Jürgen Pahl play for right after January 1976?,Jürgen Pahl,1976-01,Eintracht Frankfurt
Which team did Jürgen Pahl play for right after January 1987?,Jürgen Pahl,1987-01,Çaykur Rizespor
Which employer did Derek Simpson work for right after January 1966?,Derek Simpson,1966-01,Amalgamated Engineering Union
Which employer did Derek Simpson work for right after January 2001?,Derek Simpson,2001-01,Unite the Union
Which political party did Ida Auken belong to right after January 2021?,Ida Auken,2021-01,Social Democrats
Which team did Jimmy Bloomfield play for right after January 1964?,Jimmy Bloomfield,1964-01,Brentford F.C.
Which team did Jimmy Bloomfield play for right after January 1966?,Jimmy Bloomfield,1966-01,Plymouth Argyle F.C.
Who was the head coach of the team FC Admira Wacker Mödling right after June 2013?,FC Admira Wacker Mödling,2013-06,Zvonimir Soldo
Who was the head coach of the team FC Admira Wacker Mödling right after September 2020?,FC Admira Wacker Mödling,2020-09,Damir Burić
Which position did Patrick Joseph O'Brien hold right after June 1892?,Patrick Joseph O'Brien,1892-06,Member of the 25th Parliament of the United Kingdom
Which position did Patrick Joseph O'Brien hold right after July 1895?,Patrick Joseph O'Brien,1895-07,Member of the 26th Parliament of the United Kingdom
Which position did Patrick Joseph O'Brien hold right after September 1900?,Patrick Joseph O'Brien,1900-09,Member of the 27th Parliament of the United Kingdom
Where was Antoine Compagnon educated right after January 1970?,Antoine Compagnon,1970-01,École polytechnique
Where was Antoine Compagnon educated right after January 1973?,Antoine Compagnon,1973-01,École des Ponts ParisTech
"Who was the chair of Industrial Union of Chemicals, Glass and Ceramics right after January 1958?","Industrial Union of Chemicals, Glass and Ceramics",1958-01,Rudolf Höppner
"Who was the chair of Industrial Union of Chemicals, Glass and Ceramics right after January 1965?","Industrial Union of Chemicals, Glass and Ceramics",1965-01,Hans-Joachim Winkler
"Who was the chair of Industrial Union of Chemicals, Glass and Ceramics right after January 1980?","Industrial Union of Chemicals, Glass and Ceramics",1980-01,Edith Weber
"Who was the chair of Industrial Union of Chemicals, Glass and Ceramics right after January 1989?","Industrial Union of Chemicals, Glass and Ceramics",1989-01,Nomen nescio
Who was the head of state of Austria right after December 1928?,Austria,1928-12,Wilhelm Miklas
Who was the head of state of Austria right after January 1957?,Austria,1957-01,Adolf Schärf
Who was the head of state of Austria right after July 1986?,Austria,1986-07,Kurt Waldheim
Who was the head of state of Austria right after July 1992?,Austria,1992-07,Thomas Klestil
Which position did Christian Zetlitz Bretteville hold right after January 1847?,Christian Zetlitz Bretteville,1847-01,member of the Parliament of Norway
Which position did Christian Zetlitz Bretteville hold right after January 1850?,Christian Zetlitz Bretteville,1850-01,Minister of Finance of Norway
Which position did Christian Zetlitz Bretteville hold right after March 1854?,Christian Zetlitz Bretteville,1854-03,Minister of Auditing
Which position did Christian Zetlitz Bretteville hold right after April 1856?,Christian Zetlitz Bretteville,1856-04,Norwegian prime minister in Stockholm
Which position did Randolfo Pacciardi hold right after July 1953?,Randolfo Pacciardi,1953-07,member of the Chamber of Deputies of the Italian Republic
Who was the head of Nuremberg right after January 1821?,Nuremberg,1821-01,Jakob Friedrich Binder
Who was the head of Nuremberg right after January 1853?,Nuremberg,1853-01,Maximilian von Waechter
Who was the head of Nuremberg right after January 1867?,Nuremberg,1867-01,Otto Stromer von Reichenbach
Who was the head of Nuremberg right after January 1891?,Nuremberg,1891-01,Georg von Schuh
Who was the head of Nuremberg right after January 1951?,Nuremberg,1951-01,Otto Bärnreuther
Who was the head of Nuremberg right after January 1957?,Nuremberg,1957-01,Andreas Urschlechter
Who was the head of Nuremberg right after January 1987?,Nuremberg,1987-01,Peter Schönlein
Who was the head of Nuremberg right after January 1996?,Nuremberg,1996-01,Ulrich Maly
Which employer did Frederick Valentine Atkinson work for right after January 1940?,Frederick Valentine Atkinson,1940-01,Intelligence Corps
Which employer did Frederick Valentine Atkinson work for right after January 1946?,Frederick Valentine Atkinson,1946-01,Christ Church
Which employer did Frederick Valentine Atkinson work for right after January 1948?,Frederick Valentine Atkinson,1948-01,University of Ibadan
Which employer did Frederick Valentine Atkinson work for right after January 1956?,Frederick Valentine Atkinson,1956-01,Canberra College
Which employer did Frederick Valentine Atkinson work for right after January 1960?,Frederick Valentine Atkinson,1960-01,University of Toronto
Who was the head of Ōsaka Prefecture right after April 1995?,Ōsaka Prefecture,1995-04,Knock Yokoyama
Who was the head of Ōsaka Prefecture right after December 1999?,Ōsaka Prefecture,1999-12,Fusae Ōta
Who was the head of Ōsaka Prefecture right after February 2008?,Ōsaka Prefecture,2008-02,Tōru Hashimoto
Who was the head of Ōsaka Prefecture right after October 2011?,Ōsaka Prefecture,2011-10,Ichirō Matsui
Which team did George McVitie play for right after January 1976?,George McVitie,1976-01,Carlisle United F.C.
Which team did George McVitie play for right after January 1981?,George McVitie,1981-01,Queen of the South F.C.
Which position did John Carpenter Garnier hold right after March 1880?,John Carpenter Garnier,1880-03,Member of the 22nd Parliament of the United Kingdom
Which political party did John Tyler belong to right after January 1841?,John Tyler,1841-01,independent politician
"Which position did Donald Anderson, Baron Anderson of Swansea hold right after April 1997?","Donald Anderson, Baron Anderson of Swansea",1997-04,Member of the 52nd Parliament of the United Kingdom
"Which position did Donald Anderson, Baron Anderson of Swansea hold right after April 2005?","Donald Anderson, Baron Anderson of Swansea",2005-04,Member of the House of Lords
Which team did Maciej Korzym play for right after January 2010?,Maciej Korzym,2010-01,Korona Kielce
Which team did Maciej Korzym play for right after January 2015?,Maciej Korzym,2015-01,Górnik Zabrze
Which political party did Mahathir Mohamad belong to right after May 2020?,Mahathir Mohamad,2020-05,independent politician
Which political party did Mahathir Mohamad belong to right after August 2020?,Mahathir Mohamad,2020-08,Homeland Fighter Party
Who was the chair of Swedish Ice Hockey Association right after September 1973?,Swedish Ice Hockey Association,1973-09,Ove Rainer
Who was the chair of Swedish Ice Hockey Association right after June 2002?,Swedish Ice Hockey Association,2002-06,Christer Englund
Where was Joichi Suetsuna educated right after January 1922?,Joichi Suetsuna,1922-01,University of Göttingen
Which employer did Gabriel Díaz Bessón work for right after January 1624?,Gabriel Díaz Bessón,1624-01,Mezquita Catedral
Who was the head of Vințu de Jos right after January 2016?,Vințu de Jos,2016-01,Ion-Iosif Josan
Who was the head of Vințu de Jos right after October 2020?,Vințu de Jos,2020-10,Petru-Ioan Barbu
Which position did François-Xavier Dumortier hold right after January 2003?,François-Xavier Dumortier,2003-01,Provincial
Which position did Vlasta Parkanová hold right after September 1992?,Vlasta Parkanová,1992-09,Minister of Justice of the Czech Republic
Which position did Vlasta Parkanová hold right after July 1998?,Vlasta Parkanová,1998-07,Minister of Defence of the Czech Republic
Which position did Vlasta Parkanová hold right after May 2009?,Vlasta Parkanová,2009-05,Member of the Chamber of Deputies of the Parliament of the Czech Republic
Which position did Per-Kristian Foss hold right after January 1981?,Per-Kristian Foss,1981-01,Minister of Finance of Norway
Which position did Per-Kristian Foss hold right after October 2005?,Per-Kristian Foss,2005-10,Representative of the Parliamentary Assembly of the Council of Europe
Which political party did Pier Luigi Bersani belong to right after February 1991?,Pier Luigi Bersani,1991-02,Democratic Party of the Left
Which political party did Pier Luigi Bersani belong to right after October 2007?,Pier Luigi Bersani,2007-10,Democratic Party
Which employer did Ulrich von Wilamowitz-Moellendorff work for right after January 1883?,Ulrich von Wilamowitz-Moellendorff,1883-01,University of Göttingen
Which employer did Ulrich von Wilamowitz-Moellendorff work for right after January 1897?,Ulrich von Wilamowitz-Moellendorff,1897-01,Frederick William University
Which employer did Charles-André Julien work for right after January 1941?,Charles-André Julien,1941-01,Lycée Condorcet
Where was Marian Pepler educated right after January 1924?,Marian Pepler,1924-01,Architectural Association School of Architecture
Which employer did Nancy E. Gwinn work for right after January 1975?,Nancy E. Gwinn,1975-01,Council on Library and Information Resources
Which employer did Nancy E. Gwinn work for right after January 1984?,Nancy E. Gwinn,1984-01,Smithsonian Institution Libraries
Which employer did Carlo Cottarelli work for right after January 1987?,Carlo Cottarelli,1987-01,Eni
Which employer did Carlo Cottarelli work for right after January 1988?,Carlo Cottarelli,1988-01,International Monetary Fund
Who was the head coach of the team Enosis Neon Paralimni FC right after February 2017?,Enosis Neon Paralimni FC,2017-02,Apostolos Makrides
Who was the head coach of the team Enosis Neon Paralimni FC right after October 2017?,Enosis Neon Paralimni FC,2017-10,André Paus
Who was the head coach of the team Enosis Neon Paralimni FC right after November 2018?,Enosis Neon Paralimni FC,2018-11,Čedomir Janevski
Who was the head coach of the team Enosis Neon Paralimni FC right after May 2020?,Enosis Neon Paralimni FC,2020-05,Carlos Alós Ferrer
Which employer did Hermann Ebbinghaus work for right after January 1894?,Hermann Ebbinghaus,1894-01,University of Wrocław
Which employer did Hermann Ebbinghaus work for right after January 1905?,Hermann Ebbinghaus,1905-01,University of Halle-Wittenberg
Who was the head coach of the team France men's national volleyball team right after January 1968?,France men's national volleyball team,1968-01,Georges Derose
Who was the head coach of the team France men's national volleyball team right after January 1970?,France men's national volleyball team,1970-01,Georges Komatov
Who was the head coach of the team France men's national volleyball team right after September 1983?,France men's national volleyball team,1983-09,Jean-Marc Buchel
Who was the head coach of the team France men's national volleyball team right after January 1985?,France men's national volleyball team,1985-01,Éric Daniel
Who was the head coach of the team France men's national volleyball team right after January 1988?,France men's national volleyball team,1988-01,Jean-Marie Fabiani
Who was the head coach of the team France men's national volleyball team right after January 2012?,France men's national volleyball team,2012-01,Laurent Tillie
Which position did George Windsor-Clive hold right after November 1923?,George Windsor-Clive,1923-11,Member of the 33rd Parliament of the United Kingdom
Which position did George Windsor-Clive hold right after October 1935?,George Windsor-Clive,1935-10,Member of the 37th Parliament of the United Kingdom
Who was the head coach of the team MKE Ankaragücü right after December 2018?,MKE Ankaragücü,2018-12,İbrahim Üzülmez
Who was the head coach of the team MKE Ankaragücü right after August 2020?,MKE Ankaragücü,2020-08,Fuat Çapa
Who was the head coach of the team MKE Ankaragücü right after August 2022?,MKE Ankaragücü,2022-08,Ömer Erdoğan
"Which position did Sir Charles Warde, 1st Baronet hold right after September 1900?","Sir Charles Warde, 1st Baronet",1900-09,Member of the 27th Parliament of the United Kingdom
"Which position did Sir Charles Warde, 1st Baronet hold right after January 1906?","Sir Charles Warde, 1st Baronet",1906-01,Member of the 28th Parliament of the United Kingdom
Who was the head of state of Hanthawaddy Kingdom right after January 1307?,Hanthawaddy Kingdom,1307-01,Razadarit
Who was the head of state of Hanthawaddy Kingdom right after January 1471?,Hanthawaddy Kingdom,1471-01,Dhammazedi
Who was the head of state of Hanthawaddy Kingdom right after January 1492?,Hanthawaddy Kingdom,1492-01,Takayutpi
Which position did Simranjit Singh Mann hold right after March 1991?,Simranjit Singh Mann,1991-03,Member of the 13th Lok Sabha
Which position did Simranjit Singh Mann hold right after May 2004?,Simranjit Singh Mann,2004-05,Member of the 17th Lok Sabha
Which employer did David K. Levine work for right after June 1988?,David K. Levine,1988-06,"University of California, Los Angeles"
Which employer did David K. Levine work for right after June 2006?,David K. Levine,2006-06,Washington University in St. Louis
Which political party did Paweł Adamowicz belong to right after January 1994?,Paweł Adamowicz,1994-01,Civic Platform
Which political party did Paweł Adamowicz belong to right after January 2015?,Paweł Adamowicz,2015-01,independent politician
Which position did Anders Lysgaard hold right after January 1817?,Anders Lysgaard,1817-01,deputy member of the Parliament of Norway
Where was T. J. McConnell educated right after January 2010?,T. J. McConnell,2010-01,Duquesne University
Where was T. J. McConnell educated right after January 2012?,T. J. McConnell,2012-01,University of Arizona
Which team did Kees Bregman play for right after January 1972?,Kees Bregman,1972-01,ADO Den Haag
Which team did Kees Bregman play for right after January 1974?,Kees Bregman,1974-01,Roda JC Kerkrade
Which team did Kees Bregman play for right after January 1980?,Kees Bregman,1980-01,Arminia Bielefeld
Which team did Kees Bregman play for right after January 1982?,Kees Bregman,1982-01,MSV Duisburg
Which employer did Allison Littlejohn work for right after March 2019?,Allison Littlejohn,2019-03,University of Glasgow
Who was the chair of Roman Catholic Diocese of Gaspé right after May 1957?,Roman Catholic Diocese of Gaspé,1957-05,Jean-Marie Fortier
Who was the chair of Roman Catholic Diocese of Gaspé right after April 1973?,Roman Catholic Diocese of Gaspé,1973-04,Bertrand Blanchet
Which team did Marko Memedović play for right after January 2013?,Marko Memedović,2013-01,FK Metalac Gornji Milanovac
Who was the head of Râșnov right after October 2020?,Râșnov,2020-10,Liviu-Călin Butnariu
Which position did Samuel Whitbread hold right after March 1857?,Samuel Whitbread,1857-03,Member of the 17th Parliament of the United Kingdom
Which position did Samuel Whitbread hold right after April 1859?,Samuel Whitbread,1859-04,Member of the 18th Parliament of the United Kingdom
Which position did Samuel Whitbread hold right after July 1865?,Samuel Whitbread,1865-07,Member of the 19th Parliament of the United Kingdom
Which position did Samuel Whitbread hold right after January 1874?,Samuel Whitbread,1874-01,Member of the 21st Parliament of the United Kingdom
Which position did Samuel Whitbread hold right after March 1880?,Samuel Whitbread,1880-03,Member of the 22nd Parliament of the United Kingdom
Which position did Samuel Whitbread hold right after November 1885?,Samuel Whitbread,1885-11,Member of the 23rd Parliament of the United Kingdom
Which position did Samuel Whitbread hold right after June 1892?,Samuel Whitbread,1892-06,Member of the 25th Parliament of the United Kingdom
Which employer did Tamsin Ford work for right after October 1995?,Tamsin Ford,1995-10,South London and Maudsley NHS Foundation Trust
Which employer did Tamsin Ford work for right after August 1999?,Tamsin Ford,1999-08,University of Exeter Medical School
Who was the head of Lannemezan right after December 1966?,Lannemezan,1966-12,Pierre Bleuler
Who was the head of Lannemezan right after March 2001?,Lannemezan,2001-03,Bernard Plano
Which employer did Roger D. Launius work for right after January 2002?,Roger D. Launius,2002-01,Smithsonian Institution
Who was the head of state of Slovakia right after March 1998?,Slovakia,1998-03,Rudolf Schuster
Who was the head of state of Slovakia right after June 2019?,Slovakia,2019-06,Zuzana Čaputová
Who was the head of Belgium right after October 2019?,Belgium,2019-10,Sophie Wilmès
Who was the head of Dresden District right after January 1958?,Dresden District,1958-01,Walter Weidauer
Who was the head of Castres right after June 1995?,Castres,1995-06,Arnaud Mandement
Which position did Dugdale Dugdale hold right after April 1807?,Dugdale Dugdale,1807-04,Member of the 4th Parliament of the United Kingdom
Which position did Dugdale Dugdale hold right after June 1818?,Dugdale Dugdale,1818-06,Member of the 6th Parliament of the United Kingdom
Which position did Dugdale Dugdale hold right after June 1826?,Dugdale Dugdale,1826-06,Member of the 8th Parliament of the United Kingdom
Which position did Dugdale Dugdale hold right after July 1830?,Dugdale Dugdale,1830-07,Member of the 9th Parliament of the United Kingdom
Which political party did Amiruddin Hamzah belong to right after November 2017?,Amiruddin Hamzah,2017-11,Malaysian United Indigenous Party
Which political party did Amiruddin Hamzah belong to right after May 2020?,Amiruddin Hamzah,2020-05,independent politician
Which political party did Amiruddin Hamzah belong to right after August 2020?,Amiruddin Hamzah,2020-08,Homeland Fighter Party
Which position did Johannes Hougen hold right after January 1900?,Johannes Hougen,1900-01,member of the Parliament of Norway
Which position did Johannes Hougen hold right after January 1909?,Johannes Hougen,1909-01,Minister of Education and Church Affairs
Who was the chair of Eurelectric right after June 2013?,Eurelectric,2013-06,Johannes Teyssen
Who was the chair of Eurelectric right after June 2015?,Eurelectric,2015-06,António Mexia
Who was the chair of Eurelectric right after June 2017?,Eurelectric,2017-06,Francesco Starace
Which team did Luke Varney play for right after January 2011?,Luke Varney,2011-01,Portsmouth F.C.
Which team did Luke Varney play for right after January 2012?,Luke Varney,2012-01,Leeds United F.C.
Which team did Luke Varney play for right after January 2014?,Luke Varney,2014-01,Blackburn Rovers F.C.
Which team did Luke Varney play for right after January 2015?,Luke Varney,2015-01,Ipswich Town F.C.
Which employer did Patrick du Val work for right after January 1933?,Patrick du Val,1933-01,Victoria University of Manchester
Which employer did Patrick du Val work for right after January 1941?,Patrick du Val,1941-01,University of Georgia
Which employer did Patrick du Val work for right after January 1952?,Patrick du Val,1952-01,University of Bristol
Which employer did Patrick du Val work for right after January 1954?,Patrick du Val,1954-01,University College London
Who was the head coach of the team Tampa Bay Rowdies right after January 2011?,Tampa Bay Rowdies,2011-01,Ricky Hill
Who was the head coach of the team Tampa Bay Rowdies right after November 2014?,Tampa Bay Rowdies,2014-11,Thomas Rongen
Who was the head coach of the team Tampa Bay Rowdies right after August 2015?,Tampa Bay Rowdies,2015-08,Stuart Campbell
Who was the head coach of the team Tampa Bay Rowdies right after May 2018?,Tampa Bay Rowdies,2018-05,Neill Collins
Which team did Lukas Grozurek play for right after January 2010?,Lukas Grozurek,2010-01,SK Rapid Wien
