question,entity,event,answer
Which team did Alyaksey Belavusaw play for right before FC Dinamo Minsk?,Alyaksey Belavusaw,FC Dinamo Minsk,FC Dinamo-Juni Minsk
Which team did Alyaksey Belavusaw play for right before FC Shakhtyor Salihorsk?,Alyaksey Belavusaw,FC Shakhtyor Salihorsk,FC Dinamo Minsk
Which team did Alyaksey Belavusaw play for right before FC Naftan Novopolotsk?,Alyaksey Belavusaw,FC Naftan Novopolotsk,FC Shakhtyor Salihorsk
Which employer did Franz Baader work for right before German Research Center for Artificial Intelligence?,Franz Baader,German Research Center for Artificial Intelligence,University of Erlangen-Nuremberg
Which employer did Franz Baader work for right before RWTH Aachen University?,Franz Baader,RWTH Aachen University,German Research Center for Artificial Intelligence
Which employer did Franz Baader work for right before TU Dresden?,Franz Baader,TU Dresden,RWTH Aachen University
"Which position did Sir Love Jones-Parry, 1st Baronet hold right before Member of the 23rd Parliament of the United Kingdom?","Sir Love Jones-Parry, 1st Baronet",Member of the 23rd Parliament of the United Kingdom,Member of the 22nd Parliament of the United Kingdom
Which position did Edward Stanley hold right before Member of the 24th Parliament of the United Kingdom?,Edward Stanley,Member of the 24th Parliament of the United Kingdom,Member of the 23rd Parliament of the United Kingdom
Which position did Edward Stanley hold right before Member of the 26th Parliament of the United Kingdom?,Edward Stanley,Member of the 26th Parliament of the United Kingdom,Member of the 25th Parliament of the United Kingdom
Which position did Edward Stanley hold right before Member of the 27th Parliament of the United Kingdom?,Edward Stanley,Member of the 27th Parliament of the United Kingdom,Member of the 26th Parliament of the United Kingdom
Who was the head of Sant Fost de Campsentelles right before Maria José Sánchez i Ortega?,Sant Fost de Campsentelles,Maria José Sánchez i Ortega,Montserrat Sanmarti Pratginestós
Who was the head of Sant Fost de Campsentelles right before Carles Miquel i Ruzafa?,Sant Fost de Campsentelles,Carles Miquel i Ruzafa,Maria José Sánchez i Ortega
Who was the head of Annemasse right before Robert Borrel?,Annemasse,Robert Borrel,Jean Deffaugt
Who was the head of Annemasse right before special delegation?,Annemasse,special delegation,Robert Borrel
Which team did Manuel Hartmann play for right before Stuttgarter Kickers?,Manuel Hartmann,Stuttgarter Kickers,SGV Freiberg
Which team did Manuel Hartmann play for right before FC Ingolstadt 04?,Manuel Hartmann,FC Ingolstadt 04,TuS Koblenz
Which team did Steve Jones play for right before Bury F.C.?,Steve Jones,Bury F.C.,Blackpool F.C.
Which team did Steve Jones play for right before Sligo Rovers F.C.?,Steve Jones,Sligo Rovers F.C.,Bury F.C.
Which team did Steve Jones play for right before Leigh Genesis F.C.?,Steve Jones,Leigh Genesis F.C.,Sligo Rovers F.C.
Which team did Steve Jones play for right before Airbus UK Broughton F.C.?,Steve Jones,Airbus UK Broughton F.C.,AFC Telford United
Which team did Onur Kıvrak play for right before Turkey national under-19 football team?,Onur Kıvrak,Turkey national under-19 football team,Turkey national under-18 football team
Which team did Onur Kıvrak play for right before Turkey national under-21 football team?,Onur Kıvrak,Turkey national under-21 football team,Turkey national under-19 football team
Who was the head coach of the team TSG 1899 Hoffenheim right before Matthias Kaltenbach?,TSG 1899 Hoffenheim,Matthias Kaltenbach,Alfred Schreuder
Who was the head coach of the team TSG 1899 Hoffenheim right before Sebastian Hoeneß?,TSG 1899 Hoffenheim,Sebastian Hoeneß,Matthias Kaltenbach
Which employer did David Gilbarg work for right before Indiana University Bloomington?,David Gilbarg,Indiana University Bloomington,Naval Ordnance Laboratory
Which team did Quintin Mikell play for right before Los Angeles Rams?,Quintin Mikell,Los Angeles Rams,Philadelphia Eagles
Which team did Quintin Mikell play for right before Carolina Panthers?,Quintin Mikell,Carolina Panthers,Los Angeles Rams
Which employer did Leonid Kantorovich work for right before Novosibirsk State University?,Leonid Kantorovich,Novosibirsk State University,Military Engineering-Technical University
Which position did Michael Shersby hold right before Member of the 47th Parliament of the United Kingdom?,Michael Shersby,Member of the 47th Parliament of the United Kingdom,Member of the 46th Parliament of the United Kingdom
Which position did Michael Shersby hold right before Member of the 48th Parliament of the United Kingdom?,Michael Shersby,Member of the 48th Parliament of the United Kingdom,Member of the 47th Parliament of the United Kingdom
Which position did Michael Shersby hold right before Member of the 52nd Parliament of the United Kingdom?,Michael Shersby,Member of the 52nd Parliament of the United Kingdom,Member of the 51st Parliament of the United Kingdom
Which position did Donald Stewart hold right before Member of the 46th Parliament of the United Kingdom?,Donald Stewart,Member of the 46th Parliament of the United Kingdom,Member of the 45th Parliament of the United Kingdom
Which position did Donald Stewart hold right before Member of the 47th Parliament of the United Kingdom?,Donald Stewart,Member of the 47th Parliament of the United Kingdom,Member of the 46th Parliament of the United Kingdom
Which position did Donald Stewart hold right before Member of the 48th Parliament of the United Kingdom?,Donald Stewart,Member of the 48th Parliament of the United Kingdom,Member of the 47th Parliament of the United Kingdom
Which position did Donald Stewart hold right before Member of the 49th Parliament of the United Kingdom?,Donald Stewart,Member of the 49th Parliament of the United Kingdom,Member of the 48th Parliament of the United Kingdom
Which employer did Sabine Hyland work for right before Columbus State University?,Sabine Hyland,Columbus State University,Conception Seminary College
Which employer did Sabine Hyland work for right before University of St Andrews?,Sabine Hyland,University of St Andrews,Columbus State University
Who was the head coach of the team CSM Reșița right before Alexandru Pelici?,CSM Reșița,Alexandru Pelici,Dorinel Munteanu
Who was the head coach of the team CSM Reșița right before Alin Minteuan?,CSM Reșița,Alin Minteuan,Alexandru Pelici
Who was the head coach of the team Olympique Lyonnais right before Sylvinho?,Olympique Lyonnais,Sylvinho,Bruno Génésio
Who was the head coach of the team Olympique Lyonnais right before Rudi Garcia?,Olympique Lyonnais,Rudi Garcia,Sylvinho
Who was the head coach of the team Olympique Lyonnais right before Laurent Blanc?,Olympique Lyonnais,Laurent Blanc,Peter Bosz
Which position did Abukari Sumani hold right before Member of the 5th Parliament of the 4th Republic of Ghana?,Abukari Sumani,Member of the 5th Parliament of the 4th Republic of Ghana,Member of the 4th Parliament of the 4th Republic of Ghana
Which team did Mauricio Alfaro play for right before C.D. FAS?,Mauricio Alfaro,C.D. FAS,Alianza Fútbol Club
Which employer did Arnold Mallis work for right before Gulf Oil?,Arnold Mallis,Gulf Oil,University of Delaware
Which employer did Kevin Anderson work for right before Oregon State University?,Kevin Anderson,Oregon State University,"University of California, Berkeley"
Which employer did Kevin Anderson work for right before University of Maryland?,Kevin Anderson,University of Maryland,United States Military Academy
Who was the chair of Johns Hopkins University right before Ira Remsen?,Johns Hopkins University,Ira Remsen,Daniel Coit Gilman
Who was the chair of Johns Hopkins University right before Joseph Sweetman Ames?,Johns Hopkins University,Joseph Sweetman Ames,Frank Johnson Goodnow
Who was the chair of Johns Hopkins University right before Isaiah Bowman?,Johns Hopkins University,Isaiah Bowman,Joseph Sweetman Ames
Who was the chair of Johns Hopkins University right before Detlev Bronk?,Johns Hopkins University,Detlev Bronk,Isaiah Bowman
Who was the chair of Johns Hopkins University right before Milton Stover Eisenhower?,Johns Hopkins University,Milton Stover Eisenhower,Lowell Reed
Who was the chair of Johns Hopkins University right before Lincoln Gordon?,Johns Hopkins University,Lincoln Gordon,Milton Stover Eisenhower
Who was the chair of Johns Hopkins University right before William C. Richardson?,Johns Hopkins University,William C. Richardson,Steven Muller
Who was the chair of Johns Hopkins University right before Daniel Nathans?,Johns Hopkins University,Daniel Nathans,William C. Richardson
Who was the chair of Johns Hopkins University right before William Ralph Brody?,Johns Hopkins University,William Ralph Brody,Daniel Nathans
Which position did Ilir Meta hold right before Minister of Foreign Affairs?,Ilir Meta,Minister of Foreign Affairs,Prime Minister of Albania
Which position did Ilir Meta hold right before President of Albania?,Ilir Meta,President of Albania,Speaker of the Parliament of Albania
Which team did José Eloy Jiménez Moreno play for right before Elche CF?,José Eloy Jiménez Moreno,Elche CF,Levante UD
Which team did José Eloy Jiménez Moreno play for right before CD Castellón?,José Eloy Jiménez Moreno,CD Castellón,Córdoba CF
Which team did José Eloy Jiménez Moreno play for right before Hellín CF?,José Eloy Jiménez Moreno,Hellín CF,CD Castellón
Which team did Domenico Maggiora play for right before Varese Calcio?,Domenico Maggiora,Varese Calcio,Juventus FC
Which team did Domenico Maggiora play for right before Calcio Catania?,Domenico Maggiora,Calcio Catania,Cagliari Calcio
Who was the head of state of German Democratic Republic right before Willi Stoph?,German Democratic Republic,Willi Stoph,Walter Ulbricht
Who was the head of state of German Democratic Republic right before Erich Honecker?,German Democratic Republic,Erich Honecker,Willi Stoph
Who was the head of state of German Democratic Republic right before Sabine Bergmann-Pohl?,German Democratic Republic,Sabine Bergmann-Pohl,Manfred Gerlach
Which employer did Maximilian Herzberger work for right before ETH Zürich?,Maximilian Herzberger,ETH Zürich,Eastman Kodak
Which employer did Maximilian Herzberger work for right before University of New Orleans?,Maximilian Herzberger,University of New Orleans,ETH Zürich
Which position did Bonar Law hold right before Member of the 28th Parliament of the United Kingdom?,Bonar Law,Member of the 28th Parliament of the United Kingdom,Member of the 27th Parliament of the United Kingdom
Which position did Bonar Law hold right before Member of the 29th Parliament of the United Kingdom?,Bonar Law,Member of the 29th Parliament of the United Kingdom,Member of the 28th Parliament of the United Kingdom
Which position did Bonar Law hold right before Chancellor of the Exchequer?,Bonar Law,Chancellor of the Exchequer,Leader of the Opposition
Which employer did James Rodger Fleming work for right before Princeton University?,James Rodger Fleming,Princeton University,University of Washington
Which employer did James Rodger Fleming work for right before American Meteorological Society?,James Rodger Fleming,American Meteorological Society,Princeton University
Which position did Jackie Baillie hold right before Member of the 2nd Scottish Parliament?,Jackie Baillie,Member of the 2nd Scottish Parliament,Minister for Social Justice
Which position did Jackie Baillie hold right before Member of the 3rd Scottish Parliament?,Jackie Baillie,Member of the 3rd Scottish Parliament,Member of the 2nd Scottish Parliament
Which position did Jackie Baillie hold right before Member of the 5th Scottish Parliament?,Jackie Baillie,Member of the 5th Scottish Parliament,Leader of the Opposition (Scotland)
Which position did Jackie Baillie hold right before Member of the 6th Scottish Parliament?,Jackie Baillie,Member of the 6th Scottish Parliament,Member of the 5th Scottish Parliament
Which team did Martin Stankev play for right before FC Etar 1924 Veliko Tarnovo?,Martin Stankev,FC Etar 1924 Veliko Tarnovo,FC Vihren Sandanski
Which team did Martin Stankev play for right before FC Bansko?,Martin Stankev,FC Bansko,FC Etar 1924 Veliko Tarnovo
Which team did Martin Stankev play for right before PFC Slavia Sofia?,Martin Stankev,PFC Slavia Sofia,FC Bansko
Which team did Brayan Perea play for right before Colombia U20 soccer team?,Brayan Perea,Colombia U20 soccer team,Deportivo Cali
Who was the head coach of the team Club Brugge K.V. right before Ivan Leko?,Club Brugge K.V.,Ivan Leko,Michel Preud'homme
Who was the head coach of the team Club Brugge K.V. right before Carl Hoefkens?,Club Brugge K.V.,Carl Hoefkens,Alfred Schreuder
Which position did Vito Lattanzio hold right before Italian Minister of Transports?,Vito Lattanzio,Italian Minister of Transports,Italian Minister of Defence
Who was the chair of Liga Veneta Repubblica right before Donato Manfroi?,Liga Veneta Repubblica,Donato Manfroi,Mariangelo Foggiato
Who was the chair of Liga Veneta Repubblica right before Fabrizio Comencini?,Liga Veneta Repubblica,Fabrizio Comencini,Donato Manfroi
Who was the chair of Liga Veneta Repubblica right before Gian Pietro Piotto?,Liga Veneta Repubblica,Gian Pietro Piotto,Alessio Morosin
Which position did Jan Kappeyne van de Coppello hold right before member of the Senate of the Netherlands?,Jan Kappeyne van de Coppello,member of the Senate of the Netherlands,Minister of the Interior and Kingdom Relations
Which employer did Mitchell Feigenbaum work for right before Virginia Tech?,Mitchell Feigenbaum,Virginia Tech,Cornell University
Which employer did Mitchell Feigenbaum work for right before The Rockefeller University?,Mitchell Feigenbaum,The Rockefeller University,Virginia Tech
Where was Lam Yi Young educated right before University of Cambridge?,Lam Yi Young,University of Cambridge,Victoria Junior College
Where was Lam Yi Young educated right before John F. Kennedy School of Government?,Lam Yi Young,John F. Kennedy School of Government,University of Cambridge
Where was Caroline Aigle educated right before Prytanée National Militaire?,Caroline Aigle,Prytanée National Militaire,Lycée militaire de Saint-Cyr
Where was Caroline Aigle educated right before École polytechnique?,Caroline Aigle,École polytechnique,Prytanée National Militaire
Where was Caroline Aigle educated right before School of the Air?,Caroline Aigle,School of the Air,École polytechnique
Who was the head of People's Republic of China right before Hua Guofeng?,People's Republic of China,Hua Guofeng,Zhou Enlai
Who was the head of People's Republic of China right before Li Keqiang?,People's Republic of China,Li Keqiang,Wen Jiabao
Who was the head of Stevns Municipality right before Mogens Haugaard Nielsen?,Stevns Municipality,Mogens Haugaard Nielsen,Poul Arne Nielsen
Which employer did Michael H. Jameson work for right before Stanford University?,Michael H. Jameson,Stanford University,University of Pennsylvania
Which position did Stavros Kostopoulos hold right before Minister of the National Economy of Greece?,Stavros Kostopoulos,Minister of the National Economy of Greece,Member of the Hellenic Parliament
Which position did Stavros Kostopoulos hold right before Minister of Coordination of Greece?,Stavros Kostopoulos,Minister of Coordination of Greece,Minister of Supplies
Which position did Stavros Kostopoulos hold right before Minister of Economy of Greece?,Stavros Kostopoulos,Minister of Economy of Greece,Minister without portfolio of Greece
Which position did Stavros Kostopoulos hold right before Minister for Foreign Affairs of Greece?,Stavros Kostopoulos,Minister for Foreign Affairs of Greece,Greek Minister of the Interior
Which position did Stavros Kostopoulos hold right before Minister for National Defence of Greece?,Stavros Kostopoulos,Minister for National Defence of Greece,Minister for Foreign Affairs of Greece
Where was Stefan Bergman educated right before University of Vienna?,Stefan Bergman,University of Vienna,University of Wrocław
Where was Stefan Bergman educated right before Frederick William University?,Stefan Bergman,Frederick William University,University of Vienna
Which employer did Michael Purugganan work for right before North Carolina State University?,Michael Purugganan,North Carolina State University,"University of California, San Diego"
Which employer did Michael Purugganan work for right before New York University?,Michael Purugganan,New York University,North Carolina State University
Which team did Aimé Lavie play for right before FC Sète?,Aimé Lavie,FC Sète,FC Sochaux-Montbéliard
Who was the chair of Fédération Internationale de l'Automobile right before Robert de Vogüé?,Fédération Internationale de l'Automobile,Robert de Vogüé,Étienne van Zuylen van Nyevelt
Who was the chair of Fédération Internationale de l'Automobile right before Jehan de Rohan-Chabot?,Fédération Internationale de l'Automobile,Jehan de Rohan-Chabot,Robert de Vogüé
Who was the chair of Fédération Internationale de l'Automobile right before Hadelin de Liedekerke Beaufort?,Fédération Internationale de l'Automobile,Hadelin de Liedekerke Beaufort,Jehan de Rohan-Chabot
Who was the chair of Fédération Internationale de l'Automobile right before Paul de Metternich-Winneburg?,Fédération Internationale de l'Automobile,Paul de Metternich-Winneburg,Amaury de Mérode
Who was the chair of Fédération Internationale de l'Automobile right before Max Mosley?,Fédération Internationale de l'Automobile,Max Mosley,Jean-Marie Balestre
Who was the chair of Fédération Internationale de l'Automobile right before Mohammed bin Sulayem?,Fédération Internationale de l'Automobile,Mohammed bin Sulayem,Jean Todt
Who was the chair of Synaspismós right before Alexis Tsipras?,Synaspismós,Alexis Tsipras,Alekos Alavanos
Who was the chair of American Alliance of Museums right before William Jacob Holland?,American Alliance of Museums,William Jacob Holland,Hermon Carey Bumpus
Who was the chair of American Alliance of Museums right before Laura L. Lott?,American Alliance of Museums,Laura L. Lott,William Jacob Holland
Which team did Dimcho Markov play for right before PFC Levski Sofia?,Dimcho Markov,PFC Levski Sofia,FC Lokomotiv Gorna Oryahovitsa
Which team did Dimcho Markov play for right before FC Haskovo?,Dimcho Markov,FC Haskovo,PFC Levski Sofia
Which employer did Lee Anna Clark work for right before University of Iowa?,Lee Anna Clark,University of Iowa,Southern Methodist University
Which employer did Lee Anna Clark work for right before University of Notre Dame?,Lee Anna Clark,University of Notre Dame,University of Iowa
Which position did Mike Hedges hold right before Member of the 6th Senedd Cymru?,Mike Hedges,Member of the 6th Senedd Cymru,Member of the 5th National Assembly for Wales
Which position did George Higginson Allsopp hold right before Member of the 25th Parliament of the United Kingdom?,George Higginson Allsopp,Member of the 25th Parliament of the United Kingdom,Member of the 24th Parliament of the United Kingdom
Which position did George Higginson Allsopp hold right before Member of the 26th Parliament of the United Kingdom?,George Higginson Allsopp,Member of the 26th Parliament of the United Kingdom,Member of the 25th Parliament of the United Kingdom
Which employer did Manuel García Velarde work for right before Université libre de Bruxelles?,Manuel García Velarde,Université libre de Bruxelles,Superior Technical School of Architecture of Madrid
Which team did Geoffrey Doumeng play for right before France national under-17 football team?,Geoffrey Doumeng,France national under-17 football team,France national under-16 football team
Which team did Geoffrey Doumeng play for right before Montpellier Hérault Sport Club?,Geoffrey Doumeng,Montpellier Hérault Sport Club,France national under-17 football team
Which team did Geoffrey Doumeng play for right before A.S. Nancy-Lorraine?,Geoffrey Doumeng,A.S. Nancy-Lorraine,Montpellier Hérault Sport Club
Who was the chair of PEN International right before Denis Saurat?,PEN International,Denis Saurat,Jules Romains
Who was the chair of PEN International right before Mario Vargas Llosa?,PEN International,Mario Vargas Llosa,Heinrich Böll
Who was the chair of PEN International right before Iván Boldizsár?,PEN International,Iván Boldizsár,Mario Vargas Llosa
Who was the chair of PEN International right before György Konrád?,PEN International,György Konrád,Iván Boldizsár
Who was the chair of PEN International right before Jiří Gruša?,PEN International,Jiří Gruša,Homero Aridjis
Who was the chair of PEN International right before John R. Saul?,PEN International,John R. Saul,Jiří Gruša
Who was the chair of PEN International right before Jennifer Clement?,PEN International,Jennifer Clement,John R. Saul
Which position did Peter Atkinson hold right before Member of the 52nd Parliament of the United Kingdom?,Peter Atkinson,Member of the 52nd Parliament of the United Kingdom,Member of the 51st Parliament of the United Kingdom
Which position did Peter Atkinson hold right before Member of the 53rd Parliament of the United Kingdom?,Peter Atkinson,Member of the 53rd Parliament of the United Kingdom,Member of the 52nd Parliament of the United Kingdom
Which position did Peter Atkinson hold right before Member of the 54th Parliament of the United Kingdom?,Peter Atkinson,Member of the 54th Parliament of the United Kingdom,Member of the 53rd Parliament of the United Kingdom
Which team did Birger Madsen play for right before Sandefjord Fotball?,Birger Madsen,Sandefjord Fotball,Skeid Fotball
Which team did Birger Madsen play for right before IK Start?,Birger Madsen,IK Start,Vålerenga Fotball
Which position did V. D. Satheesan hold right before Member of the 15th Kerala Legislative Assembly?,V. D. Satheesan,Member of the 15th Kerala Legislative Assembly,Member of the 14th Kerala Legislative Assembly
Who was the head coach of the team Bristol Rovers F.C. right before Darrell Clarke?,Bristol Rovers F.C.,Darrell Clarke,John Ward
Who was the head coach of the team Bristol Rovers F.C. right before Graham Coughlan?,Bristol Rovers F.C.,Graham Coughlan,Darrell Clarke
Who was the head coach of the team Bristol Rovers F.C. right before Paul Tisdale?,Bristol Rovers F.C.,Paul Tisdale,Graham Coughlan
Which team did Valdet Rama play for right before FC Ingolstadt 04?,Valdet Rama,FC Ingolstadt 04,VfL Wolfsburg
Which team did Valdet Rama play for right before Hannover 96?,Valdet Rama,Hannover 96,FC Ingolstadt 04
Which team did Valdet Rama play for right before Örebro SK?,Valdet Rama,Örebro SK,Hannover 96
Who was the head of Arnhem right before Hans Roelen?,Arnhem,Hans Roelen,Chris Matser
Who was the head of Arnhem right before Pauline Krikke?,Arnhem,Pauline Krikke,Job Drijber
Who was the head of Arnhem right before Ahmed Marcouch?,Arnhem,Ahmed Marcouch,Boele Staal
Which position did Chester Bowles hold right before United States Ambassador to India?,Chester Bowles,United States Ambassador to India,United States representative
Which position did Charles Owen O'Conor hold right before Member of the 19th Parliament of the United Kingdom?,Charles Owen O'Conor,Member of the 19th Parliament of the United Kingdom,Member of the 18th Parliament of the United Kingdom
Which position did Charles Owen O'Conor hold right before Member of the 21st Parliament of the United Kingdom?,Charles Owen O'Conor,Member of the 21st Parliament of the United Kingdom,Member of the 20th Parliament of the United Kingdom
Which employer did Aarne Üksküla work for right before Vanalinnastuudio?,Aarne Üksküla,Vanalinnastuudio,Endla Theatre
Which position did Anne-Marie Descôtes hold right before ambassador of France to Germany?,Anne-Marie Descôtes,ambassador of France to Germany,director
Which position did Anne-Marie Descôtes hold right before Permanent secretary of the French Foreign Affairs Ministry?,Anne-Marie Descôtes,Permanent secretary of the French Foreign Affairs Ministry,ambassador of France to Germany
Which employer did John Pople work for right before National Physical Laboratory?,John Pople,National Physical Laboratory,University of Cambridge
Which employer did John Pople work for right before Carnegie Mellon University?,John Pople,Carnegie Mellon University,National Physical Laboratory
Where was William Michael Herbert Greaves educated right before Codrington College?,William Michael Herbert Greaves,Codrington College,The Lodge School
"Who was the chair of Paris Observatory, PSL University right before Jacques Cassini?","Paris Observatory, PSL University",Jacques Cassini,Giovanni Domenico Cassini
Which team did Dave Connell play for right before Dundalk F.C.?,Dave Connell,Dundalk F.C.,Bohemian F.C.
Which team did Dave Connell play for right before Shamrock Rovers F.C?,Dave Connell,Shamrock Rovers F.C,Dundalk F.C.
Which team did Dave Connell play for right before Ards F.C.?,Dave Connell,Ards F.C.,Shamrock Rovers F.C
Where was Earle Raymond Hedrick educated right before Harvard University?,Earle Raymond Hedrick,Harvard University,University of Michigan
Where was Earle Raymond Hedrick educated right before University of Göttingen?,Earle Raymond Hedrick,University of Göttingen,Harvard University
Which team did Jack Mustard play for right before Preston North End F.C.?,Jack Mustard,Preston North End F.C.,South Shields F.C.
Which team did Jack Mustard play for right before Crewe Alexandra F.C.?,Jack Mustard,Crewe Alexandra F.C.,Southend United F.C.
Which team did Willy Scheepers play for right before Aarhus Gymnastikforening?,Willy Scheepers,Aarhus Gymnastikforening,Lommel United
Which team did Willy Scheepers play for right before FC Zürich?,Willy Scheepers,FC Zürich,Odense Boldklub
"Which position did John Hutton, Baron Hutton of Furness hold right before Member of the 53rd Parliament of the United Kingdom?","John Hutton, Baron Hutton of Furness",Member of the 53rd Parliament of the United Kingdom,Member of the 52nd Parliament of the United Kingdom
"Which position did John Hutton, Baron Hutton of Furness hold right before Secretary of State for Business, Energy and Industrial Strategy?","John Hutton, Baron Hutton of Furness","Secretary of State for Business, Energy and Industrial Strategy",Chancellor of the Duchy of Lancaster
Which political party did Marcel Ciolacu belong to right before Social Democracy Party of Romania?,Marcel Ciolacu,Social Democracy Party of Romania,Democratic National Salvation Front
Which team did Gary Stevens play for right before Shrewsbury Town F.C.?,Gary Stevens,Shrewsbury Town F.C.,Cardiff City F.C.
Which team did Gary Stevens play for right before Brentford F.C.?,Gary Stevens,Brentford F.C.,Shrewsbury Town F.C.
Which team did Gary Stevens play for right before Hereford United F.C.?,Gary Stevens,Hereford United F.C.,Brentford F.C.
Which team did Gary Stevens play for right before Knighton Town F.C.?,Gary Stevens,Knighton Town F.C.,Hereford United F.C.
Which position did Daniel O'Connell hold right before Member of the 9th Parliament of the United Kingdom?,Daniel O'Connell,Member of the 9th Parliament of the United Kingdom,Member of the 8th Parliament of the United Kingdom
Which position did Daniel O'Connell hold right before Member of the 10th Parliament of the United Kingdom?,Daniel O'Connell,Member of the 10th Parliament of the United Kingdom,Member of the 9th Parliament of the United Kingdom
Which position did Daniel O'Connell hold right before Member of the 11th Parliament of the United Kingdom?,Daniel O'Connell,Member of the 11th Parliament of the United Kingdom,Member of the 10th Parliament of the United Kingdom
Which position did Daniel O'Connell hold right before Member of the 13th Parliament of the United Kingdom?,Daniel O'Connell,Member of the 13th Parliament of the United Kingdom,Member of the 12th Parliament of the United Kingdom
Which team did Federico Freire play for right before Calcio Catania?,Federico Freire,Calcio Catania,C.A. Vélez Sarsfield
Which team did Federico Freire play for right before Arsenal de Sarandí?,Federico Freire,Arsenal de Sarandí,Calcio Catania
Who was the head coach of the team Toulouse FC right before Alain Casanova?,Toulouse FC,Alain Casanova,Mickaël Debève
Who was the head coach of the team Toulouse FC right before Patrice Garande?,Toulouse FC,Patrice Garande,Denis Zanko
Who was the head coach of the team Toulouse FC right before Philippe Montanier?,Toulouse FC,Philippe Montanier,Patrice Garande
Where was Rocc educated right before Zurich University of the Arts?,Rocc,Zurich University of the Arts,Faculty of Music of the Janáček Academy of Music and Performing Arts in Brno
Where was Rocc educated right before Hochschule für Gestaltung Offenbach?,Rocc,Hochschule für Gestaltung Offenbach,Zurich University of the Arts
Which position did Gordon Wilson hold right before Member of the 47th Parliament of the United Kingdom?,Gordon Wilson,Member of the 47th Parliament of the United Kingdom,Member of the 46th Parliament of the United Kingdom
Which position did Gordon Wilson hold right before Member of the 48th Parliament of the United Kingdom?,Gordon Wilson,Member of the 48th Parliament of the United Kingdom,Member of the 47th Parliament of the United Kingdom
Which position did Walter Clegg hold right before Member of the 45th Parliament of the United Kingdom?,Walter Clegg,Member of the 45th Parliament of the United Kingdom,Member of the 44th Parliament of the United Kingdom
Which employer did Peter Corke work for right before Commonwealth Scientific and Industrial Research Organisation?,Peter Corke,Commonwealth Scientific and Industrial Research Organisation,University of Melbourne
Which employer did Peter Corke work for right before Queensland University of Technology?,Peter Corke,Queensland University of Technology,Commonwealth Scientific and Industrial Research Organisation
"Where was Bill Clinton educated right before University College, Oxford?",Bill Clinton,"University College, Oxford",Edmund A. Walsh School of Foreign Service
Who was the chair of United States Department of State right before Dean Rusk?,United States Department of State,Dean Rusk,Thomas Jefferson
Who was the chair of United States Department of State right before William P. Rogers?,United States Department of State,William P. Rogers,Dean Rusk
Who was the chair of United States Department of State right before Henry Kissinger?,United States Department of State,Henry Kissinger,William P. Rogers
Who was the chair of United States Department of State right before Cyrus Vance?,United States Department of State,Cyrus Vance,Henry Kissinger
Who was the chair of United States Department of State right before Alexander Haig?,United States Department of State,Alexander Haig,Edmund Muskie
Who was the chair of United States Department of State right before George P. Shultz?,United States Department of State,George P. Shultz,Alexander Haig
Who was the chair of United States Department of State right before James Baker?,United States Department of State,James Baker,George P. Shultz
Who was the chair of United States Department of State right before Lawrence Eagleburger?,United States Department of State,Lawrence Eagleburger,James Baker
Who was the chair of United States Department of State right before Warren Christopher?,United States Department of State,Warren Christopher,Lawrence Eagleburger
Who was the chair of United States Department of State right before Madeleine Albright?,Madeleine Albright,right before,Warren Christopher
Who was the chair of United States Department of State right before Colin Powell?,United States Department of State,Colin Powell,Madeleine Albright
Who was the chair of United States Department of State right before Condoleezza Rice?,United States Department of State,Condoleezza Rice,Colin Powell
Who was the chair of United States Department of State right before Hillary Clinton?,United States Department of State,Hillary Clinton,Condoleezza Rice
Who was the chair of United States Department of State right before John Kerry?,United States Department of State,John Kerry,Hillary Clinton
Who was the chair of United States Department of State right before Mike Pompeo?,United States Department of State,Mike Pompeo,Rex Tillerson
Which employer did Leroy Cronin work for right before University of Birmingham?,Leroy Cronin,University of Birmingham,Bielefeld University
Which employer did Leroy Cronin work for right before University of Glasgow?,Leroy Cronin,University of Glasgow,University of Birmingham
Which position did William Plumer hold right before Member of the 13th Parliament of Great Britain?,William Plumer,Member of the 13th Parliament of Great Britain,Member of the 12th Parliament of Great Britain
Which position did William Plumer hold right before Member of the 14th Parliament of Great Britain?,William Plumer,Member of the 14th Parliament of Great Britain,Member of the 13th Parliament of Great Britain
Which position did William Plumer hold right before Member of the 15th Parliament of Great Britain?,William Plumer,Member of the 15th Parliament of Great Britain,Member of the 14th Parliament of Great Britain
Which position did William Plumer hold right before Member of the 16th Parliament of Great Britain?,William Plumer,Member of the 16th Parliament of Great Britain,Member of the 15th Parliament of Great Britain
Which position did William Plumer hold right before Member of the 17th Parliament of Great Britain?,William Plumer,Member of the 17th Parliament of Great Britain,Member of the 16th Parliament of Great Britain
Which position did William Plumer hold right before Member of the 2nd Parliament of the United Kingdom?,William Plumer,Member of the 2nd Parliament of the United Kingdom,Member of the 1st Parliament of the United Kingdom
Which position did William Plumer hold right before Member of the 3rd Parliament of the United Kingdom?,William Plumer,Member of the 3rd Parliament of the United Kingdom,Member of the 2nd Parliament of the United Kingdom
Which position did William Plumer hold right before Member of the 5th Parliament of the United Kingdom?,William Plumer,Member of the 5th Parliament of the United Kingdom,Member of the 3rd Parliament of the United Kingdom
Which position did William Plumer hold right before Member of the 6th Parliament of the United Kingdom?,William Plumer,Member of the 6th Parliament of the United Kingdom,Member of the 5th Parliament of the United Kingdom
